model,n_rows,strategy,n_cores,median_wall_time_sec,median_energy_joules,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,repeats,median_wall_time_min,energy_per_second
XGBoost,1000,joblib,2,0.3276227999594994,14.335980000714596,1.0913684333014924,32.15886366661548,1.3480267646839006,35.71949229384118,3,0.0054603799993249895,43.757577319059614
XGBoost,1000,threading,4,0.40714049997041,11.780310002922068,0.40821293332070735,11.355694666700943,0.01657648878059803,0.7486557527805557,3,0.006785674999506833,28.9342622602719
XGBoost,1000,joblib,8,0.4606004999950528,12.361231002251673,2.238964866652774,61.2360476661758,3.111852117839099,85.2899234493388,3,0.007676674999917547,26.837207085933343
XGBoost,1000,threading,8,0.64891789999092,17.700481000215706,0.6513911999839669,17.542816333626643,0.0053059960595623805,0.6218564525141181,3,0.010815298333182,27.27691900695509
XGBoost,1000,multiprocessing,1,2.799852600030136,76.6456119987352,2.826385566673707,75.79329099945977,0.11914522404914953,3.486171277911402,3,0.04666421000050226,27.37487394797506
XGBoost,1000,multiprocessing,2,3.230047199991532,96.49093500314204,3.226139199997609,96.32558300100486,0.15716224535719245,4.43210094971383,3,0.05383411999985887,29.87291795717258
XGBoost,1000,multiprocessing,4,4.5334096000297,126.5325749977786,4.517495833356709,126.75125066535232,0.040180233376869795,3.0796917202156795,3,0.07555682666716167,27.91112786211721
XGBoost,1000,ray,1,5.700255800038576,156.49459800161495,5.932403033327621,157.7594143324584,0.606108550249815,6.326158204195105,3,0.09500426333397627,27.453960574989612
XGBoost,1000,ray,2,5.735936999961268,169.04148799905212,5.94429166665456,172.84066533322218,0.686807826564843,9.09144620835486,3,0.09559894999935446,29.470597044596825
XGBoost,1000,multiprocessing,8,7.454797499987762,202.60754699992083,7.346657466667239,203.0907279997232,0.23648112881997685,8.700605722326989,3,0.12424662499979604,27.178142263455637
XGBoost,1000,ray,4,7.778539600025397,209.30509800057143,7.7476337333403835,207.67350233409783,0.06725975119333316,4.80601122187688,3,0.12964232666708994,26.908019855023692
XGBoost,1000,ray,8,10.869643499958327,287.5791400000508,10.75101106664321,283.1768369996199,0.3362369180702236,9.811884917084301,3,0.18116072499930544,26.45709033614151
XGBoost,10000,serial,8,2.1879432999994606,52.20152799902955,2.1872384999878705,52.16340699967237,0.07254826770468184,1.4515419803085101,3,0.03646572166665767,23.858720652880915
XGBoost,10000,serial,2,2.245922000030987,51.89950499921992,2.2338158000105373,52.25393933223632,0.024545294908306876,0.8994212934610044,3,0.037432033333849785,23.10832922893309
XGBoost,10000,serial,4,2.277785299927928,52.281286000432914,2.272896199952811,53.154085334838896,0.009458830131399662,1.5426415823075983,3,0.03796308833213213,22.952683908394334
XGBoost,10000,serial,1,2.337590800016187,55.96219899863808,2.3278351666328185,57.1724523329209,0.06971130730775511,3.7998692338444875,3,0.03895984666693645,23.94011774783275
XGBoost,10000,joblib,2,2.392617000034079,54.517586999414114,3.4322086666943505,75.35749066776009,1.8339332017273926,38.3484915350594,3,0.039876950000567984,22.78575593111543
XGBoost,10000,threading,1,2.407215900020674,53.36973799956457,2.4291435666770362,52.793685332197526,0.06541790371368097,1.711086860131924,3,0.04012026500034457,22.170731756593256
XGBoost,10000,joblib,1,2.4618599000386894,52.814770000209066,2.3798595333161456,51.67176600036072,0.17237060909888,2.6001686822337335,3,0.04103099833397816,21.4531988596829
XGBoost,10000,joblib,4,2.500603200052865,55.03127299895105,3.9494107000064105,86.48956666577057,2.6295148280369043,58.77403284204851,3,0.04167672000088108,22.007199302067455
XGBoost,10000,threading,2,2.530289499904029,55.40519900091301,2.521310233317005,55.573979666889706,0.06312043972756026,1.3766528249737433,3,0.04217149166506715,21.896782563028644
XGBoost,10000,threading,4,2.543227100046352,57.31549800149782,2.619273199971455,57.27934533383827,0.1448819700193384,2.964703326121583,3,0.04238711833410587,22.53652377345822
XGBoost,10000,joblib,8,2.5740185000468045,59.314265001209066,5.198113299983864,115.39108833480417,4.637484918315834,101.29369186970344,3,0.04290030833411341,23.043449376968553
XGBoost,10000,threading,8,2.925379900028929,64.7654700008049,2.956608633355548,65.64140466673861,0.059049076214248854,1.5573555297191835,3,0.048756331667148815,22.139165583302336
XGBoost,10000,multiprocessing,1,5.150286499992944,119.22321299906446,5.599460466648452,128.13899533374862,0.8339312948875656,17.937779444903132,3,0.08583810833321574,23.1488506511682
XGBoost,10000,multiprocessing,2,6.242771000019275,141.03440800017353,6.193160066652733,141.42059033401821,0.1682264628568524,4.495526195647423,3,0.10404618333365458,22.591635669438794
XGBoost,10000,multiprocessing,4,7.972697799908929,180.31134100016112,8.054275866636695,182.50569333273515,0.18120954555823066,5.463088255550123,3,0.1328782966651488,22.616101290358806
XGBoost,10000,ray,4,9.79262209997978,272.8675029996186,10.064771133319786,271.8547310004871,1.823924087312698,2.027095705701632,3,0.16321036833299635,27.864600534333086
XGBoost,10000,ray,8,9.915257800021209,349.0082699993735,10.347323433338394,356.71479033306633,1.081888112908283,32.127989159466495,3,0.16525429666702016,35.199112018915635
