strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,15,2,100,100,1,6.940110000025015,0.0,157.61289399878197,0.0,1,0.11566850000041692,4.3781359444106105e-05,1093.8508217738295
multiprocessing,LogisticRegression,15,4,100,50,1,6.77522680000402,0.0,161.7569979995903,0.0,1,0.11292044666673368,4.493249944433064e-05,1095.940347935021
threading,LogisticRegression,15,2,100,50,1,6.852103499986697,0.0,164.12804099952828,0.0,1,0.11420172499977828,4.559112249986897e-05,1124.6223241788277
joblib,LogisticRegression,30,2,100,25,2,7.102239999978337,0.0,159.5208890023736,0.0,1,0.11837066666630562,4.431135805621489e-05,1132.9556387047621
joblib,LogisticRegression,30,4,100,25,0,6.183236800017767,0.0,184.6415620003379,0.0,1,0.10305394666696278,5.128932277787164e-05,1141.6825009732513
multiprocessing,LogisticRegression,30,2,100,25,0,6.814578299992718,0.0,169.41650399753678,0.0,1,0.11357630499987863,4.706013999931577e-05,1154.5020318022437
threading,LogisticRegression,30,1,100,25,0,8.354928400018252,0.0,140.36363600237743,0.0,1,0.13924880666697087,3.8989898889549284e-05,1172.7281287660876
multiprocessing,LogisticRegression,30,2,100,50,1,7.298742200015113,0.0,164.60703200054104,0.0,1,0.12164570333358521,4.572417555570584e-05,1201.424290881587
multiprocessing,LogisticRegression,30,2,100,50,2,7.408384799957275,0.0,163.22012299949674,0.0,1,0.12347307999928793,4.533892305541576e-05,1209.1974782766285
multiprocessing,LogisticRegression,15,2,100,100,1,7.434819700021762,0.0,162.70235199932205,0.0,1,0.12391366166702937,4.5195097777589455e-05,1209.6626518844348
joblib,LogisticRegression,15,1,100,50,0,8.164732000033837,0.0,148.26497999996246,0.0,1,0.13607886666723062,4.118471666665624e-05,1210.5438266900703
multiprocessing,LogisticRegression,15,1,100,50,2,7.217390400008298,0.0,167.8121149973455,0.0,1,0.12028984000013829,4.661447638815153e-05,1211.16554778693
multiprocessing,LogisticRegression,15,2,100,100,2,7.3218586999573745,0.0,166.18300399834362,0.0,1,0.12203097833262291,4.616194555509545e-05,1216.7684736103233
multiprocessing,LogisticRegression,15,1,100,25,0,8.099229499988724,0.0,152.47880700061944,0.0,1,0.1349871583331454,4.2355224166838734e-05,1234.960851782504
multiprocessing,LogisticRegression,30,4,100,25,2,7.518507700006012,0.0,164.93474200127702,0.0,1,0.12530846166676687,4.581520611146584e-05,1240.0631277351063
multiprocessing,LogisticRegression,15,1,100,50,1,7.237602500012144,0.0,175.14610700214428,0.0,1,0.12062670833353573,4.865169638948452e-05,1267.6379019061137
multiprocessing,LogisticRegression,30,1,100,25,2,7.627585199952591,0.0,167.40895599886008,0.0,1,0.12712641999920984,4.650248777746113e-05,1276.9260751164197
joblib,LogisticRegression,15,8,100,25,0,6.02004949998809,0.0,216.6129940025428,0.0,1,0.10033415833313483,6.017027611181744e-05,1304.020946235931
joblib,LogisticRegression,15,4,100,100,1,7.679149800038431,0.0,171.066323999014,0.0,1,0.1279858300006405,4.7518423333059445e-05,1313.6439277303377
joblib,LogisticRegression,15,4,100,100,2,7.606031399976928,0.0,173.00992399835735,0.0,1,0.12676718999961548,4.805831222176593e-05,1315.9189144391278
