model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product
LogisticRegression,30,100,50,serial,1,6.651065799989738,147.93054800061878,8.370689766656142,180.94959233325855,3.0077049474278437,59.7870939806299,3,0.11085109666649563,22.241630506925226,983.8958085806559
LogisticRegression,30,100,50,threading,1,6.976528899976984,149.76362899771223,8.223226699997516,178.0289356653808,2.416099344290183,53.89885782403739,3,0.11627548166628306,21.46678257123056,1044.8302858679704
LogisticRegression,30,100,50,multiprocessing,2,7.408384799957275,164.60703200054104,7.859756966664766,192.25229033433683,0.8784650545438513,49.08898872926699,3,0.12347307999928793,22.219017565271493,1219.472233838889
LogisticRegression,30,100,50,joblib,4,7.52473150001606,175.10429800008387,7.310028733336367,185.8922056664103,0.7648310495141712,20.237720267187893,3,0.12541219166693432,23.27050446912427,1317.6128269494302
LogisticRegression,30,100,50,multiprocessing,4,7.942950299999211,178.38734900094133,7.718558499997016,199.65156199999583,0.5304856142510028,39.04042314222501,3,0.13238250499998686,22.45857549945378,1416.921847263091
LogisticRegression,30,100,50,joblib,2,8.222504400007892,182.8582360006104,8.359503300006812,195.3819496672435,0.6483586878943468,22.26054938816226,3,0.13704174000013153,22.238751979316042,1503.5526500927006
LogisticRegression,30,100,50,threading,2,8.837726700003259,200.3303699970704,12.266184600011911,248.47645466612167,5.948247961632002,84.26311795310895,3,0.14729544500005431,22.667635784324098,1770.4650597446407
LogisticRegression,30,100,50,multiprocessing,1,8.932443699974101,196.5285989970089,10.207576866649712,228.25490799815023,2.3510788113159853,55.252980940397535,3,0.148874061666235,22.00166109052316,1755.4806459755687
LogisticRegression,30,100,50,joblib,8,9.940882799972314,238.54384999969503,9.364594266652906,248.75713833343445,1.7104854838378598,28.306522450505422,3,0.16568137999953858,23.996244076065295,2371.336455501144
LogisticRegression,30,100,50,multiprocessing,8,10.966112099995373,248.8118780011539,10.71412283333484,259.58559666630214,0.6588575752004129,24.40621891236325,3,0.18276853499992288,22.689160545902034,2728.4989459710264
LogisticRegression,30,100,50,ray,2,10.979643900005613,249.7321199996572,11.063081400003284,262.408264332796,0.16235523350816772,24.972074248462523,3,0.18299406500009355,22.74501088323361,2741.969747989706
LogisticRegression,30,100,50,ray,4,11.48077009996632,258.2099289980766,10.780416266643442,270.75561733135027,1.4298354957855184,24.638000889096638,3,0.191346168332772,22.490645379166164,2964.448832355544
LogisticRegression,30,100,50,threading,4,11.48101249994943,258.77402500018576,12.380167066624077,285.3794823327885,1.5729362542617469,49.96987731415628,3,0.19135020833249047,22.53930348053585,2970.9878156893587
LogisticRegression,30,100,50,ray,1,12.5153994000284,280.70812999957394,13.327025133340308,291.30749900017906,1.4818283591703267,22.918256142089575,3,0.20858999000047335,22.42901892519203,3513.174361779762
