strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
joblib,SVM-RBF,15,100,50,2,66.46552920001947,20.778866264227013,1392.6253676672004,221.89362124603687,3,31.262620661148553,15.933475462803964
joblib,SVM-RBF,15,100,100,1,198.28556073332825,61.18364119459739,3959.607171999693,452.2324405634329,3,30.85632709125124,11.421144091297448
multiprocessing,SVM-RBF,15,100,50,2,61.90614846666964,18.783842923076453,1350.314971998355,81.05333479661752,3,30.342451256178055,6.002550255120497
joblib,LogisticRegression,15,100,50,1,6.051062433359523,1.8305233902293432,124.5405753343587,20.593891139087777,3,30.251272572195965,16.53588887300271
ray,SVM-RBF,15,100,50,2,70.29707306666144,21.26363065528505,1593.1618570008923,407.8463852642529,3,30.248244667485846,25.59980854876972
ray,SVM-RBF,15,100,50,1,107.37459686666261,32.19328083161407,2164.288355332781,249.34148578544608,3,29.98221345742659,11.520714657595029
multiprocessing,SVM-RBF,30,100,100,1,246.6600731666549,73.10795695953883,4794.497280332718,112.81342170564861,3,29.639153196124983,2.352977071619484
serial,SVM-RBF,30,100,100,1,251.37101646667966,73.93836332858008,4882.159815333384,205.96059320831802,3,29.41403681612631,4.218636853334014
threading,LogisticRegression,30,100,50,1,8.223226699997516,2.416099344290183,178.0289356653808,53.89885782403739,3,29.381402610375716,30.2753356484389
threading,SVM-RBF,15,100,100,1,191.22441030000724,55.56584517651153,3754.282827000799,370.19908946809056,3,29.057924712297794,9.860713923991527
serial,SVM-RBF,15,100,100,1,203.61220633335566,58.81536085300714,3851.4972386653576,33.30390258719156,3,28.885970007472995,0.8647001548606124
multiprocessing,SVM-RBF,15,100,100,1,199.8985979333132,56.89916885913635,4378.900651332659,967.4725964954883,3,28.464015979800966,22.09396087123034
ray,SVM-RBF,15,100,100,1,204.22174923333418,57.895847864219164,4079.136503333089,207.02886710959135,3,28.34950150097387,5.075311084599074
serial,SVM-RBF,30,100,50,1,128.50357733331234,36.21137197124052,2583.1674539993855,227.69316925861605,3,28.17927152122429,8.81449512326777
threading,SVM-RBF,30,100,50,1,125.08649963332573,35.18859596487012,2564.5045313326686,268.3566091466963,3,28.13140991875283,10.464267302629498
multiprocessing,SVM-RBF,15,100,100,2,125.9037460333202,35.249932304292315,2733.292236333851,466.45267099728164,3,27.997524628825172,17.065598211442325
threading,SVM-RBF,15,100,50,2,60.62274076665441,16.932290085027976,1283.4013730002855,76.25198193153815,3,27.93059150889066,5.941397877211184
serial,SVM-RBF,15,100,50,1,102.98085980000906,28.61315738577907,1978.0055066658442,35.39222759457712,3,27.784927647085496,1.78928862813101
multiprocessing,SVM-RBF,30,100,50,2,77.65451646667982,21.405503465065664,1770.6937173338238,288.2660194700931,3,27.5650463605042,16.279835222103923
multiprocessing,SVM-RBF,30,100,50,1,124.74778856666914,34.20070912302776,2578.570242665623,113.09171527831406,3,27.415884093808863,4.385830310420567
threading,SVM-RBF,15,100,50,1,96.5190624333142,26.1749339381776,1819.4526106665369,51.36987616730272,3,27.118926850602254,2.8233698347594727
joblib,LogisticRegression,15,100,100,8,11.731748700006088,3.179690707924742,253.8205086664358,48.25476221404921,3,27.10329712332733,19.01137243305439
